id_szkoly,nazwa_szkoly,adres,miejscowosc,kod_pocztowy,dzielnica
25322,X Liceum Ogólnokształcące im. Królowej Jadwigi,Woronicza 8,Warszawa,02-625,Mokotów
25321,LXI Liceum Ogólnokształcące przy Młodzieżowym Ośrodku Socjoterapii nr 1 S.O.S.,Rzymowskiego 36,Warszawa,02-697,Mokotów
25347,Niepubliczne Liceum Ogólnokształcące dla Dorosłych nr 28,St. Batorego 14,Warszawa,02-591,Ochota
25354,VII Liceum Ogólnokształcące im. Juliusza Słowackiego w Warszawie,Wawelska 46,Warszawa,02-067,Ochota
25360,CXXXIII Liceum Ogólnokształcące dla Dorosłych,Szczęśliwicka 56,Warszawa,02-353,Ochota
25361,Akademickie Liceum Ogólnokształcące przy PJWSTK,Koszykowa 86,Warszawa,02-353,Ochota
25356,XIV Liceum Ogólnokształcące im. Stanisława Staszica w Zespole Szkół nr 82,Nowowiejska 37a,Warszawa,02-010,Ochota
25358,XXI Liceum Ogólnokształcące im. H. Kołłątaja,Grójecka 93,Warszawa,02-101,Ochota
25359,XLVIII Liceum Ogólnokształcące im. Edwarda Dembowskiego w Warszawie,Szczęśliwicka 50/54,Warszawa,02-353,Ochota
25352,LXIX Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Bohaterów Powstania Warszawskiego 1944 - Zespół Szkół nr 26,Urbanistów 3,Warszawa,02-397,Ochota
25365,XCVII Liceum Ogólnokształcące im. Olimpijczyków Polskich,Siennicka 15,Warszawa,04-395,Praga-Południe
25366,LXXXVII Liceum Ogólnokształcące im. gen. L. Okulickiego w Zespole Szkół nr 21 w Warszawie,Saska 78,Warszawa,03-914,Praga-Południe
25367,CXI Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Stefana Kisielewskiego,Szczawnicka 1,Warszawa,04-089,Praga-Południe
25368,LXXII Liceum Ogólnokształcące im. gen. Jakuba Jasińskiego,Grochowska 346/348,Warszawa,03-838,Praga-Południe
25369,XXXV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. B. Prusa w Zespole Szkół nr 77 w Warszawie,Zwycięzców 7/9,Warszawa,03-936,Praga-Południe
